Name (Profile),Created date,Post type,Message,Posts,Likes,Reactions,Post shares,Comments,Mention data,Total engagement,Mention business
Skooldio,2023-01-01,added_photos,"สำหรับการออกแบบ UX/UI หัวใจสำคัญอย่างหนึ่งคือการออกแบบ Product ให้มีความ ‘ใช้งานง่าย’ ซึ่งก็มาจากการช่วยให้ผู้ใช้งาน ‘ลดการคิด’ ลง
.
10 Usability Heuristics โดย Jacob Nielsen คือหลักการพื้นฐานที่จะเข้ามาช่วยให้ผู้ใช้งานรู้สึกใช้งานส่วนต่างๆ ของ Product ที่เราออกแบบได้อย่างราบรื่นและง่ายขึ้น เป็นหนึ่งในหลักจิตวิทยาการออกแบบที่มีการนำมาปรับใช้กับการออกแบบ UX/UI ค่อนข้างมาก มาดูกันว่าหลักการทั้ง 10 ข้อจะมีอะไรบ้าง
.
1. Visibility of System Status - คือการทำให้ผู้ใช้งานเห็นได้อย่างชัดเจนว่าระบบในแอปฯ หรือเว็บของเรากำลังทำงานในส่วนไหนอยู่ เช่นหากมีการอัปโหลดไฟล์ก็อาจจะมี Progress Bar ที่ช่วยบอกว่าไฟล์กำลังถูกอัปโหลดอยู่ และต้องใช้เวลาเท่าไหร่ หรือถ้าเป็นการสั่งอาหารผ่านแอปฯ ผู้ใช้งานก็อาจจะอยากเห็นว่าตอนนี้รายการที่สั่งอยู่ในขั้นตอนไหนแล้ว คนส่งอาหารจะมาถึงตอนไหน
.
2. Match Between System and the Real World - คือการสร้างประสบการณ์บน Digital Product ที่อ้างอิงประสบการณ์จากโลกจริง ตัวอย่างเช่นเว็บ E-Commerce ในยุคแรกที่ต้องใช้ไอคอนรถเข็นสำหรับปุ่ม Add to Cart เพื่อจำลองการเดินหยินสินค้าใส่รถเข็นในซุปเปอร์มาร์เก็ต
.
3. User Control and Freedom - การทำให้ผู้ใช้งานรู้สึกปลอดภัยและมีอิสระในการใช้งาน Product ของเรา ความรู้สึกนี้เกิดขึ้นได้เมื่อเราออกแบบระบบรองรับอย่างครอบคลุม ถ้าผู้ใช้งานเกิดความงง เขาสามารถกดปุ่ม Home กลับมาเริ่มต้นใหม่ที่หน้าหลักได้ ถ้าเขาอยากจะลบไฟล์อะไร เราก็อาจมีระบบแจ้งเตือนให้ยืนยันการลบอีกครั้ง ถ้าเขาไม่อยากใช้งานขั้นตอนต่อไปก็สามารถกด Back กลับไปขั้นตอนก่อนหน้าได้ เป็นต้น
.
4. Consistency and Standards - การคำนึงถึง Consistency ที่มีตั้งแต่เรื่องภายนอก ถ้าเราต้องออกแบบแอปฯ แชท เราอาจต้องอ้างอิงโครงสร้างพื้นฐานที่ผู้ใช้งานคุ้นเคยว่าแอปฯ แชทควรจะมีหน้าตาเป็นอย่างไร และ Consistency ภายใน Product เช่นการที่เรามีทั้งเว็บและแอปฯ ก็ควรออกแบบระบบและหน้าตาต่างๆ ให้สอดคล้องกัน
.
5. Error Prevention - คือการออกแบบเพื่อป้องกันให้เกิด Error น้อยที่สุด เช่นการที่เรา search หาอะไรบางอย่างใน Google โดยเฉพาะคำที่สะกดยาก ระบบก็จะขึ้นคำแนะนำที่สะกดถูกต้องให้เราเลือกกดได้เลย หรือการกรอกเลขบัตรเครดิตในแอปฯ ต่างๆ ที่มีการแบ่งช่องย่อยเพื่อลดโอกาสในการกรอกผิด
.
6. Recognition Rather than Recall -  การออกแบบที่ช่วยให้ผู้ใช้งานไม่ต้องเหนื่อยในการนึก หรือลดการใช้ความจำ เช่นโปรแกรมแต่งภาพที่จะขึ้นโปรเจกต์ล่าสุดให้เราเลือกเปิดทำงานต่อได้เลยโดยที่ไม่ต้องไปนั่งนึกว่าเซฟไว้ตรงไหน ตั้งชื่อว่าอะไร
.
7.Flexibility and Efficiency of Use - การออกแบบที่ไม่ทำให้ผู้ใช้งานหน้าใหม่งง และผู้ใช้งานเดิมไม่รำคาญ เช่นการให้มีตัวเลือก Advanced Setting สำหรับคนที่ใช้งานแอปฯ เรามานาน สำหรับผู้ใช้งานครั้งแรกเราอาจจะมีการ Onboarding ด้วยการขึ้นคำอธิบายฟีเจอร์ต่างๆ แต่ก็มีปุ่ม Skip ให้สำหรับคนที่ใช้งานเป็นอยู่แล้ว
.
8. Aesthetic and Minimalist design - คือการออกแบบหน้าตาเว็บหรือแอปฯ ให้มีความมินิมัล สะอาดตา แต่อาจจะใช้ไม่ได้กับทุกแอปฯ เช่นแอปเทรดหุ้นอาจจะต้องเน้นการแสดงข้อมูลและกราฟต่างๆ ที่ละเอียด
.
9. Help Users Recognize, Diagnose, and Recover from Errors - แม้จะออกแบบเพื่อป้องกัน Error ยังไงก็ยังสามารถเกิดข้อผิดพลาดได้ กฎสองข้อที่สำคัญคือ 1.เมื่อเกิด Error ต้องบอกให้ผู้ใช้งานรู้ว่าเกิดปัญหาอะไร 2.เตรียมทางออกให้กับผู้ใช้งานถ้าเป็นไปได้ สองข้อนี้จะช่วยลดความรู้สึกแย่ที่เกิดจากความผิดพลาดให้กับผู้ใช้งานได้
.
10. Help and Documentation - เตรียมข้อมูลที่จะช่วยผู้ใช้งานในกรณีที่เกิดปัญหา เช่น FAQ, Helps หรือ Contact ที่ติดต่อได้ในกรณีเกิดปัญหา
.
==============================

ถ้าอยากเรียนรู้ว่าเทคนิคการออกแบบให้ใช้งาน 'ง่าย' 'ลดความคิด' ลง พร้อมทริคจิตวิทยาการออกแบบแล้วละก็ 🤩
.
มาเจอกันได้ในคอร์ส Usability Design and Psychology for Digital Products ที่จะพาคุณมารู้จักกับศาสตร์ Usability แบบครอบคลุม พร้อมทั้งเรียนรู้เทคนิคจิตวิทยาที่คุณสามารถนำไปประยุกต์ใช้ในงานออกแบบของตัวเองต่อได้ 
.
ลงทะเบียนเพื่อรับส่วนลดก่อนเปิดตัวเลย 👉 https://to.skooldio.com/F7x8uWg3dwb

#Skooldio #Upskillwithskooldio #Usability #heuristics",1,42,43,56,1,TRUE,142,FALSE
Skooldio,2023-01-01,added_photos,"“อยากจะฝากอะไรสำหรับคนทำงานรุ่นใหม่” เป็นคำถามที่เรามักให้เหล่าผู้บริหารชั้นนำฝากทิ้งท้ายไว้ก่อนจบบทสนทนาในรายการ Chief’s Table ตลอดปีที่ผ่านมา
.
ในโอกาสเริ่มต้นปี 2023 เราได้รวบรวมคำตอบที่กลั่นจากประสบการณ์จริงเป็นคำแนะนำสั้นๆ จากขอบโต๊ะ 6 ผู้บริหารชั้นนำ เพื่อเป็น Tips ที่สามารถนำไปปรับใช้ หรือนำไปต่อยอดสำหรับการตั้งต้นกำหนดทิศทางการทำงานของตัวเองในปีใหม่นี้กัน
.

#chiefstable #skooldio",1,45,56,108,0,FALSE,209,FALSE
Skooldio,2023-01-01,added_photos,"🔥🗓 #เอาล่ะปีใหม่นี้ฉันจะ —> 😴 นอนเร็ว 📖 อ่านหนังสือ 🏋️‍♂️ ออกกำลังกาย >> 😭แต่สุดท้ายก็พังไม่เป็นท่า! จะแก้ปัญหานี้ยังไงดี?
.
🎉🎄ถ้าคุณอยากทำ New Year’s Resolution ให้สำเร็จ ลองใช้เคล็ดลับด้านพฤติกรรมศาสตร์ง่ายๆ ซึ่งจะช่วยให้คุณทำตามเป้าหมายได้จริง จากคำแนะนำของคุณก๊อฟ-ภานุวัฒน์​ สัจจะวิริยะกุล, Behavioural Economist และผู้สอน Psychology and UX ของ Skooldio รวมถึงเป็นผู้ร่วมก่อตั้งเพจ Nudge Thailand  ซึ่งไปร่วมพูดคุยใน Skooldio Live ตอน Behavioural Science in New Year’s Resolution
.
🙋🏻‍♂️ คุณก๊อฟได้แบ่งการตั้ง New Year’s Resolution ออกเป็น 2 แบบ นั่นคือเป้าหมายที่เราตั้งใจจะทำครั้งเดียว และเป้าหมายที่เราตั้งใจจะทำเป็นนิสัย นอกจากนี้ยังแยกเป็นหัวข้อเรื่องส่วนตัวและเรื่องงาน ซึ่งเราจะมาดูกันทีละหมวด ว่ามีอคติอะไรที่ขัดขวางจนเราทำเป้าหมายไม่สำเร็จ และจะแก้ไขได้ยังไง
.
================
.
😎 เรื่องส่วนตัว
.
🎯 เป้าหมายที่เราตั้งใจจะทำครั้งเดียว
.
อคติ : Hot-cold empathy gap การตัดสินใจตอนหัวร้อน-หัวเย็น
จังหวะที่เราหัวร้อน เราจะคิดไม่ออกว่าตอนหัวเย็นเราคิดยังไง แล้วตอนจังหวะที่เราหัวเย็น ก็จะคิดไม่ออกว่าตอนหัวร้อนเราคิดยังไง
.
เช่น เวลาหิวเราจะสั่งอาหารมากกว่าปกติ แต่พอสังมาแล้วเรากลับกินไม่หมด เพราะเราคิดไม่ออกว่าตอนที่เราอิ่มรู้สึกยังไง เหมือนกับตอนที่เราอยากตั้ง NY solution เราจะนึกไม่ออกเลยว่า ตอนที่เราอยู่ระหว่างปีเราจะยุ่งวุ่นวายขนาดไหน สุดท้ายเราก็ทำไม่ได้อย่างตั้งใจไว้
.
วิธีแก้ไข : Commitment ทำทันที
ทำทันที ตั้งแล้วให้ทำเลย สร้าง commitment บางอย่าง เพื่อสู้กับ Hot-cold empathy gap เพราะเราไม่มีทางรู้เลยว่าตอนที่เราง่วนๆ ยุ่งๆในอนาคตจะเป็นยังไง
ถ้าเรามี commitment เลยก็ง่าย เช่น ถ้าอยากวิ่ง คุณลงงานวิ่งเลย ไปไม่ไปไม่เป็นไร คุณลงไว้ก่อน แล้วเดี๋ยวทุกอย่างจะบีบคุณให้ทำเอง วิธีนี้ช่วยได้เยอะมากๆ
.
.
🎯 เป้าหมายที่เราอยากทำเป็นนิสัย
.
อคติ : Present Bias ชอบความสุขปัจจุบันทันที
เรามักจะมีอคติว่าเราชอบสุขในปัจจุบันทันทีตอนนี้ และ delay ความสุขในอนาคตออกไป เช่น ถ้าถามว่าอาทิตย์หน้าอยากออกกำลังกาย หรือ อยากกินขนมหวานแสนอ้วน เราก็อยากออกกำลังกาย
แต่พอถาม ณ ตอนนี้หลังเลิกงานดึก เราจะไปออกกำลังกายหรืออยากกินขนมหวาน คนส่วนใหญ่จะรู้สึกว่าเหนื่อยแล้วอะ อยากกินขนมหวานดีกว่า
.
วิธีแก้ : Reward ให้รางวัลบ่อยๆ
การจะเปลี่ยนให้เป็นนิสัยได้ เราต้องหมั่นให้รางวัลตัวเอง เช่น คนลดน้ำหนักต้องมี cheat day จะช่วยทำให้ loop นิสัยดีขึ้น รวมถึงต้องตั้งเป้าหมายให้เริ่มต้นง่าย ไม่งั้นมันทำไม่ได้แล้วพอทำไม่ได้บ่อยๆ สมองเราจะไม่สู้เท่าไหร่ถ้ามันเป็นงานที่สำคัญแต่ไม่ด่วน เช่น สุขภาพ อ่านหนังสือ
นอกจากนี้ควรตั้งเป้าให้ใกล้เห็นชัดๆ จับต้องได้ อย่าบอกว่าปีหน้าจะสุขภาพดีขึ้น มันจับไม่ได้ บอกไปเลยว่าปีหน้าจะกินคลีนวันพฤหัส
.
================
.
👨🏻‍💻 เรื่องงาน
.
🎯 เป้าหมายที่เราตั้งใจจะทำครั้งเดียว
.
อคติ : Fear กลัวการเปลี่ยนแปลงสิ่งใหม่ๆ
หลายคนตั้งเป้าอยากเปลี่ยนสายงานหรือลาออกไปทำธุรกิจ แต่ก็ยังกลัวการเปลี่ยนแปลง เพราะมนุษย์เราไม่ชอบความไม่แน่นอน เราเลยคิดไปต่างๆ นานา
ซึ่งสิ่งสำคัญกว่าการตั้งเป้าหมายคือต้องกล้า เอาชนะความกลัวให้ได้ เพราะถึงเราจะตั้งเป้า แต่ถ้าเรายังกลัวที่จะทำอยู่ มันจะไม่มีทางได้ทำแน่นอน
.
วิธีแก้ : ให้ลองผสมผสานระหว่างสิ่งใหม่กับสิ่งที่เคยทำอยู่ดูก่อน ค่อยๆ ลงมือทีละนิด อย่าเพิ่ง make decision หรือเสี่ยงทันที ค่อยๆ ทำให้ผลลัพธ์ชัดเจนขึ้น ตัวความกลัวเราจะลดลงไปเอง พอเราปรับ probability ในการสร้างผลลัพธ์ที่ดีให้เกิดขึ้น
.
.
🎯 เป้าหมายที่เราอยากทำเป็นนิสัย
.
อคติ : Time Confetti เศษเวลายิบย่อยที่ถูกรบกวน
เทคโนโลยีทุกวันนี้ทำให้ชีวิตคนเราถูก Distract มากขึ้น จนกระทบต่อการทำสิ่งต่างๆ ไม่สำเร็จตามเป้าหมาย เราจะเจอ Distraction ระหว่างทางเยอะมาก เรียกว่า Time Confetti
หมายถึงเวลาของเราถูกขัดจังหวะจนกลายเป็นชิ้นเล็กๆ จนเราทำงานไม่เสร็จสักที แถมเมื่อโดนแทรกแล้วกลับมาทำงานเดิม ต้องใช้เวลาทำสมาธิเพื่อให้ต่อเนื่องอีก
.
วิธีแก้ : เราต้องเอาเศษเวลาเหล่านั้นมารวมติดกันให้เป็นช่วงเวลาที่ใหญ่ขึ้นและต่อเนื่อง หนึ่งในเทคนิคที่จะช่วยได้คือการใช้ Pomodoro Technique ซึ่งจะช่วยให้เราทำงานนั้นอย่างมีสมาธิ สมองไม่ล้า โฟกัสงานได้มากขึ้น โดยวิธีคือต้องทำงานไม่หยุดเลย 25 นาที และพัก 5 นาที นับเป็น 1 Pomodoro และเมื่อทำได้ 4 Pomodoro ก็พักสัก 15-20 นาที
.
#ไม่จบแค่นี้ เข้าไปชมเนื้อหาเวอร์ชันเต็มได้ที่ https://bit.ly/3C7YhSf 
.
================
.
✅ หนึ่งในปัจจัยสำคัญที่จะช่วยให้คุณทำ New Year’s Resolution ปี 2023 ได้สำเร็จ คือการพัฒนาสมองและระบบพฤติกรรมของตัวเองให้มี Growth Mindset หรือแนวคิดที่ทำให้พัฒนาศักยภาพของตนเองได้ 
.
กับคอร์สออนไลน์ ⭐️ Unlocking Growth Mindset สูตรลัดพัฒนาศักยภาพการทำงานให้โดดเด่นปี 2023 ด้วยแนวคิดแบบเติบโต สอนโดยคุณ ภานุวัฒน์ สัจจะวิริยะกุล Co-Founder, Nudge Thailand
.
🔥🔥 สมัครได้แล้ววันนี้พร้อมใช้โค้ดส่วนลด 20% เพียงกรอกโค้ด UGMT1 เมื่อสั่งซื้อที่ https://to.skooldio.com/NYR2023 (เหลือเพียง 1,190 บาท จากราคาปกติ 1,490 บาท) ภายใน 8 มกราคม 2566 เท่านั้น
.
😍 ขอให้คุณทำ New Year’s Resolution ได้สำเร็จนะครับ 🎄
🎉 Happy New Year 2023 ค้าบบ
.
#UpSkillwithSkooldio #GrowthMindset",1,50,50,50,1,FALSE,151,TRUE
Skooldio,2023-01-02,added_photos,"ปี 2023 ใครอยากย้ายงานต้องดู 
😱 บ้าไปแล้ว! นี่มันเฉลยสอบสัมภาษณ์งานชัด ๆ
🚩 ชมคลิปเต็มได้ที่นี่ https://www.youtube.com/watch?v=ZyOt_mV_Ou8 
.
คลิปรวมข้อมูลระดับ insight ในมุมหัวหน้างานจากเหล่า Head Team และผู้บริหารของ Skooldio ที่มาแชร์กันแบบหมดเปลือก (แถมสนุกอีกต่างหาก 🤣) 🔴 ในรายการ 'สัมพลาดงาน' Ep.1
.
ถึงสิ่งที่คาดหวังจากผู้สัมภาษณ์ พร้อมแบ่งปันเทคนิคที่เอาไปปรับใช้ได้ทันที เช่น การเตรียม resume, การแนะนำตัว, port ผลงาน, การถามคำถามกลับ และเรื่องที่น่าสนใจอีกเพียบ
.
🚩 คลิกเข้าไปชมคลิปนี้เต็ม ๆ กันได้เลยที่ https://www.youtube.com/watch?v=ZyOt_mV_Ou8
.
#สัมพลาดงาน #SkooldioLive #UpskillWithSkooldio",1,75,76,213,2,TRUE,366,FALSE
Skooldio,2023-01-03,added_photos,"#ดูฟรี สอนติดตั้ง Flutter เพื่อเริ่มพัฒนา Cross-platform Applications ตั้งแต่เริ่มต้น!
.
สอนโดยผู้เชี่ยวชาญด้าน Mobile App development คุณเบน - ขจรศักดิ์ พีรพัฒนานนท์ Senior Software Engineer จาก Agoda สำหรับการพัฒนา Cross-platform Applications ทั้ง iOS และ Android ด้วยเครื่องมือ Flutter สุดฮิต 
.
เข้าไปดูคลิปใน Skooldio Tutorials ที่นี่ 👉 https://to.skooldio.com/wNLKQ6HLhwb
.
.
แต่ถ้าเพื่อน ๆ คนไหนอยากรู้เกี่ยวกับภาษา Dart หรือ Flutter มากขึ้นอีก สามารถดูฟรีได้ที่นี่เลย
.
Introduction to Dart
👉 https://to.skooldio.com/eSPHCVOKhwb

รู้จัก Flutter ง่าย ๆใน 13 นาที 
👉 https://to.skooldio.com/20vUX1RKhwb
.
.
ดูจบแล้ว! มาเรียนพัฒนา Cross-platform App ด้วย Flutter ได้กับแพ็กคอร์สออนไลน์ใหม่ “Flutter Pack From Basic to Advanced”จาก Skooldio ที่กำลังจะเปิดตัวเร็ว ๆ นี้ 🔥 ลงทะเบียนรับส่วนลดก่อนเปิดตัวได้เลยที่นี่ >> https://to.skooldio.com/LZODRYIKhwb
.
ใน Flutter Pack From Basic to Advanced นี้จะประกอบด้วย
🔹คอร์ส Building Hybrid Applications with Flutter
🔹คอร์ส Mastering Application Development with Flutter
.
👨‍🏫 สอนโดย คุณขจรศักดิ์ พีรพัฒนานนท์
- Senior Software Engineer at Agoda
- Ex-Senior iOS Engineer at Doctor Raksa
.
#Flutter #MobileApp #Skooldio #UpSkillwithSkooldio",1,35,37,23,1,FALSE,96,FALSE
Skooldio,2023-01-03,mobile_status_update,"ถอดรหัสการทำงานของ Mark Zuckerberg
ตั้งแต่วัฒนธรรมองค์กร จนถึงชีวิตการทำงานในแต่ละวัน
กับดร.ต้า วิโรจน์ จิรพัฒนกุล” แห่ง Skooldio
อดีต Data Scientist ของ Facebook
ในรายการ MM Remaster EP. นี้
.
#UpskillWithSkooldio",1,13,13,5,0,TRUE,31,FALSE
Skooldio,2023-01-04,added_photos,"Wrap Up ผลการอัปสกิลของคุณตลอดปี 2022 มาดูกันว่าอาวุธแบบไหนเหมาะกับสกิลใหม่ของคุณ ใน Skooldio Year in Review 2022 (เล่นเสร็จมีส่วนลดด้วยจ้า)
.
🚩 พร้อมแล้วเข้าไปเล่นกัน https://to.skooldio.com/KfgWlQgmjwb
.
ใครได้การ์ดผลลัพธ์แล้ว อย่าลืมเอาพลังของคุณมาโชว์อวดเพื่อนบน Social พร้อมติด #SkooldioYIR #2022withSkooldio และ @Skooldio ให้เราตามไปส่องด้วยน้าา
.
 เล่นได้ตั้งแต่วันนี้ - 31 ม.ค. 66
.
#SkooldioYIR #2022withSkooldio #Skooldio #SkooldioYearInReview2022",1,10,11,3,0,FALSE,24,FALSE
Skooldio,2023-01-04,added_photos,"ยืนหนึ่งในฐานะ Bootcamp เตรียมความพร้อมด้าน Product Manager
ที่มีคุณภาพที่สุดในประเทศไทย การันตีคุณภาพมายาวนานกว่า 4 รุ่น 🚀
.
กว่า 10 สัปดาห์ที่คุณจะได้เรียนรู้เนื้อหาสุดเข้มข้น พร้อมลงมือทำโปรเจคจริง
.
#โปรโมชัน ผ่อน 0% นาน 10 เดือน 🔥🔥 พร้อมลดราคาเหลือ 84,000 จาก 90,000 บาท จำนวนจำกัด!
รีบสมัครก่อนที่นั่งเต็ม 👉 https://to.skooldio.com/QJSTVvoqjwb 
.
ทำไม Product Management Bootcamp ที่ Skooldio ที่ช่วยคุณเตรียมย้ายสายได้จริง?
✅ เรียนรู้เนื้อหาสุดเข้มข้นอัดแน่นกว่า 70 ชั่วโมง ตั้งแต่ขั้นตอนแรกของการสร้าง Product จนถึงกระบวนการสุดท้ายของการส่งมอบ Product รับรองว่าจุใจ และคุ้มค่ามากกว่าใคร
✅ ให้คุณได้เรียนรู้ และฝึกฝนทักษะไปกับผู้เชี่ยวชาญระดับประเทศ และต่างประเทศ เพราะการเริ่มต้นเป็น Product Manager ต้องเรียนกับผู้เชี่ยวชาญตัวจริงเท่านั้น!
✅ คุณจะได้สร้างผลงานจริง เพราะ Bootcamp นี้จะเปิดโอกาสให้คุณลงมือทำโปรเจกต์จริง พร้อมรับคำแนะนำจาก Mentors มากประสบการณ์ ถาม-ตอบอย่างเป็นกันเอง
.
✅ พร้อมรับ Certificate และผลงานเก็บเข้า Portfolio ได้เลยทันทีหลังเรียนจบ 
.
#ด่วน ที่นั่งใกล้เต็มแล้ว สามารถอัปสกิลในราคาพิเศษกว่าใคร พร้อมโปรโมชันพิเศษที่คุณสามารถผ่อนได้ 0% นานสูงสุด 10 เดือน 🔥🔥
สมัครทันทีก่อนที่นั่งเต็ม 👉 https://to.skooldio.com/QJSTVvoqjwb 
หรือโทรคุณเปา 065-651-7974

#Skooldio #Productmanagement #Productmanager #productdevelopment",1,47,48,44,0,FALSE,139,FALSE
Skooldio,2023-01-04,added_photos,"เริ่มต้นปี สรุปเนื้อหาเกี่ยวกับการเปลี่ยนเเปลงในปี 2022 สิ่งที่ต้องจับตา และ Mindset ที่ผู้นำต้องมี 
.
🟡 รีวิวปี 2022
โควิดซา พวกเราเริ่มกลับมาปกติ เเต่มีความผันผวน และเกิดวิกฤติซ้อนวิกฤต อย่างเรื่อง เงินเฟ้อ การเปลี่ยนเเปลงเทคโนโลยี การท่องเที่ยว หรือแม้แต่การไปร้านอาหารแบบเเก้เเค้น เพราะไม่ได้ไปมานาน ทุกอย่างเลยไม่นิ่ง เกิด Black Swan หรือเหตุการณ์ที่ไม่คาดคิดเกิดขึ้น เช่น ปัญหา Geopolitic ต่างๆ 
.
🟡 ความปกติใหม่ที่เกิดขึ้นมีอะไรบ้าง? 
เกิด Fundamental Shift การเปลี่ยนเเปลงเชิงโครงสร้างพื้นฐานครั้งใหญ่ ไม่รู้ว่าอนาคตจะเกิดอะไรขึ้น ดังนั้น ทุกคนจึงมีความรู้ และไม่รู้เท่าเทียมกัน หลายๆบทเรียนที่เรียนมาไม่สามารถใช้ได้กับปัจจุบัน 

Gen X กับ Gen Y ต่างกันไม่เยอะ เเต่ Gen Z ที่ต่างกันเยอะ เพราะสื่อที่เสพ การใช้ชีวิต มี Fragmented เยอะ บูชา Flexibility, Purpose,ความหลากหลายทางเพศเเละเชื้อชาติ มีความ เป็น Global citizenship มากขึ้น ทำให้ต้องเข้าใจว่าลูกค้า หรือเทรนด์ธุรกิจเราเปลี่ยนไปอย่างไรบ้าง เป็นการฉีกตำราเศรษฐศาสตร์  
.
🟡 ความเปลี่ยนแปลงที่ต้องจับตาต่อ
- Technology เปลี่ยนเเปลงอย่างรวดเร็ว เช่น ChatGPT, WEB 3.0 
- Climate Change เติบโตอย่างที่ไม่เคยเป็น เช่น การตั้ง Net Zero, พลังงานสะอาด 
- Demogrophics เริ่มเห็นการเปลี่ยนเเปลงต่อเนื่องเช่น สังคมผู้สูงอายุ 
- Urbanization สังคมเมืองเติบโตขึ้น 
- Wellness and Well-Being คนใส่ใจสุขภาพมากขึ้น มีตัวเร่งคือ Covid-19 
.
🟡 ติดตามอย่างไรให้ทัน
ต้อง Set Radar ตัวเอง เพื่อโฟกัสสิ่งที่เกี่ยวข้องกับธุรกิจ อุตสาหกรรมเราโดยตรง เช็กสัญญาณที่เกิดขึ้นจริง โดยทำให้เป็นนิสัย เพื่อนำเอากลับมาพูดคุยกับทีม 
.
🟡 โจทย์ของผู้นำในปี 2023
บริหาร Stakeholders ต้องสนใจสิ่งที่คนกำลังสนใจมากขึ้น เคลื่อนที่เเบบ Agile ร่วมงานกับทุกทีม เพื่อคิดไอเดียวด้วยกัน โดย Collaboration communication skills เป็นสิ่งสำคัญสุด เพื่อสร้างการเปลี่ยนเเปลง ไปพร้อมๆ กับสร้างผลกำไร (Perform While Transform) และระมัดระวังการตัดสินใจ ที่พร้อมจะพลาดได้ตลอดเวลา ช้าไปก็ไม่ได้ เร็วไปก็ไม่ดี Balance การ Execute plans และมี Backup plan เสมอ
.
🟡 สิ่งที่ผู้นำต้องทำในปี 2023
สัมผัสความเปลี่ยนเเปลงได้มากน้อยเเค่ไหน? ต้อง Outside In เสมอ สอดส่อง หาโอกาส หาพันธมิตร จับความเปลี่ยนเเปลง 

Empower ทีม และคนในองค์กร เพื่อที่จะ Respond ให้รวดเร็วทันกับการเปลี่ยนเเปลง สร้าง Dashboard นำทีมไปด้วยกัน ต้องรักษาความไว้เนื้อเชื่อใจ อย่างลืม Empathy, Engage, Empower  เพราะหมดยุคผู้นำ นำเดี่ยว ผู้นำไม่ใช่คนที่อยู่ข้างหน้า เเต่ควรเป็น Facilitator ที่สนับสนุนให้ทุกคนเก่งขึ้น และไปข้างหน้าพร้อมกัน
.
⭐ ถ้าคุณเป็นหัวหน้าทีม หรือผู้บริหารในองค์กรที่กำลังอยาก Empower คนในองค์กรให้ก้าวหน้า และเติบโตไปพร้อมกัน ผ่านการสร้าง Mindset ที่ถูกต้องเพื่อขับเคลื่อน ""คน"" ทุกคนสู่เป้าหมายเดียวกัน กับคอร์ส Unlocking Growth Mindset 

สูตรลัดพัฒนาศักยภาพการทำงานให้โดดเด่น ด้วยแนวคิดแบบ Growth Mindset
🔥 กรอกโค้ด UGMT1 เพื่อรับส่วนลดคอร์สออนไลน์สูงถึง 20% ได้แล้ววันนี้ - 8 มกราคม ที่ 👉 https://to.skooldio.com/kgC4uwMcjwb

#Skooldio #UpSkillwithSkooldio #GrowthMindset",1,44,46,23,1,FALSE,114,TRUE
Skooldio,2023-01-05,added_photos,"คุ้ม 2 ต่อ! New Year, Better Me ในปี 2023 🎉🤩
ลงทุนในตัวเองเพิ่มความรู้ไม่พอ ยังสามารถลดหย่อนภาษีได้อีกด้วย 
ตามมาตรการ #ช้อปดีมีคืน 2566 💸
.
เพียงแค่ซื้อสินค้าที่ Skooldio ก็รับสิทธิลดหย่อนภาษีสูงสุดถึง 30,000 บาท ภายในช่วงวันที่ 1 ม.ค. - 15 ก.พ. 66 เท่านั้น ⏰
.
รายละเอียดเงื่อนไข 
1. สมัครสมาชิก หรือ Log in เข้าสู่ระบบ 
2. สั่งซื้อสินค้าที่อยากอัปสกิล 
3. กรอกแบบฟอร์มนี้เพื่อขอใบกำกับภาษีโครงการ “ช้อปดีมีคืน” https://forms.gle/SMGGKqeQZHY6d9gf6
4. เตรียมรอรับใบกำกับภาษีทางอีเมล และจะนำส่งตัวจริงตามไปภายใน 7 วันทำการ 
.
อย่าลังเล! 🔥🔥 โอกาสสุดคุ้ม 2 ต่อที่คุณจะได้อัปสกิลด้าน Design, Tech, Data, และ Business พร้อมลดหย่อนภาษี! 

#Skooldio #Upskillwithskooldio #UXUI #PWA #promotion #ช้อปดีมีคืน",1,7,7,8,0,TRUE,22,TRUE
